user_id,user_name,email,user_pw,user_role
1,Albert,albert@example.com,pw001!,SELLER
2,Beatrice,beatrice@example.com,pw002!,SELLER
3,Caleb,caleb@example.com,pw003!,SELLER
4,Diana,diana@example.com,pw004!,SELLER
5,Ethan,ethan@example.com,pw005!,SELLER
6,Fiona,fiona@example.com,pw006!,SELLER
7,Gavin,gavin@example.com,pw007!,SELLER
8,Hazel,hazel@example.com,pw008!,SELLER
9,Isaac,isaac@example.com,pw009!,SELLER
10,Jade,jade@example.com,pw010!,SELLER
11,Kai,kai@example.com,pw011!,SELLER
12,Luna,luna@example.com,pw012!,SELLER
13,Miles,miles@example.com,pw013!,SELLER
14,Nora,nora@example.com,pw014!,SELLER
15,Owen,owen@example.com,pw015!,SELLER
16,Paula,paula@example.com,pw016!,SELLER
17,Quentin,quentin@example.com,pw017!,SELLER
18,Rosa,rosa@example.com,pw018!,SELLER
19,Silas,silas@example.com,pw019!,SELLER
20,Tara,tara@example.com,pw020!,SELLER
21,Uma,uma@example.com,pw021!,SELLER
22,Victor,victor@example.com,pw022!,SELLER
23,Wendy,wendy@example.com,pw023!,SELLER
24,Xavier,xavier@example.com,pw024!,SELLER
25,Yara,yara@example.com,pw025!,SELLER
26,Zane,zane@example.com,pw026!,SELLER
27,Amelia,amelia@example.com,pw027!,SELLER
28,Brandon,brandon@example.com,pw028!,SELLER
29,Clara,clara@example.com,pw029!,SELLER
30,Diego,diego@example.com,pw030!,SELLER
31,Elena,elena@example.com,pw031!,SELLER
32,Felix,felix@example.com,pw032!,SELLER
33,Grace,grace@example.com,pw033!,SELLER
34,Henry,henry@example.com,pw034!,SELLER
35,Iris,iris@example.com,pw035!,SELLER
36,Jonah,jonah@example.com,pw036!,SELLER
37,Kara,kara@example.com,pw037!,SELLER
38,Leo,leo@example.com,pw038!,SELLER
39,Maya,maya@example.com,pw039!,SELLER
40,Noah,noah@example.com,pw040!,SELLER
41,Olivia,olivia@example.com,pw041!,SELLER
42,Peter,peter@example.com,pw042!,SELLER
43,Queenie,queenie@example.com,pw043!,SELLER
44,Ryan,ryan@example.com,pw044!,SELLER
45,Sofia,sofia@example.com,pw045!,SELLER
46,Tristan,tristan@example.com,pw046!,SELLER
47,Ursula,ursula@example.com,pw047!,SELLER
48,Vince,vince@example.com,pw048!,SELLER
49,Willow,willow@example.com,pw049!,SELLER
50,Xenia,xenia@example.com,pw050!,SELLER
51,Yusuf,yusuf@example.com,pw051!,BUYER
52,Zoe,zoe@example.com,pw052!,BUYER
53,Avery,avery@example.com,pw053!,BUYER
54,Brooke,brooke@example.com,pw054!,BUYER
55,Carter,carter@example.com,pw055!,BUYER
56,Delilah,delilah@example.com,pw056!,BUYER
57,Elliot,elliot@example.com,pw057!,BUYER
58,Faith,faith@example.com,pw058!,BUYER
59,George,george@example.com,pw059!,BUYER
60,Harper,harper@example.com,pw060!,BUYER
61,Ivan,ivan@example.com,pw061!,BUYER
62,Jasper,jasper@example.com,pw062!,BUYER
63,Kendall,kendall@example.com,pw063!,BUYER
64,Liam,liam@example.com,pw064!,BUYER
65,Mila,mila@example.com,pw065!,BUYER
66,Naomi,naomi@example.com,pw066!,BUYER
67,Oscar,oscar@example.com,pw067!,BUYER
68,Piper,piper@example.com,pw068!,BUYER
69,Reid,reid@example.com,pw069!,BUYER
70,Sienna,sienna@example.com,pw070!,BUYER
71,Theo,theo@example.com,pw071!,BUYER
72,Una,una@example.com,pw072!,BUYER
73,Violet,violet@example.com,pw073!,BUYER
74,Wade,wade@example.com,pw074!,BUYER
75,Ximena,ximena@example.com,pw075!,BUYER
76,Yasmine,yasmine@example.com,pw076!,BUYER
77,Zander,zander@example.com,pw077!,BUYER
78,Abigail,abigail@example.com,pw078!,BUYER
79,Bennett,bennett@example.com,pw079!,BUYER
80,Camila,camila@example.com,pw080!,BUYER
81,Damian,damian@example.com,pw081!,BUYER
82,Emery,emery@example.com,pw082!,BUYER
83,Freya,freya@example.com,pw083!,BUYER
84,Gianna,gianna@example.com,pw084!,BUYER
85,Holden,holden@example.com,pw085!,BUYER
86,Imogen,imogen@example.com,pw086!,BUYER
87,Julian,julian@example.com,pw087!,BUYER
88,Keira,keira@example.com,pw088!,BUYER
89,Lydia,lydia@example.com,pw089!,BUYER
90,Matteo,matteo@example.com,pw090!,BUYER
91,Nolan,nolan@example.com,pw091!,BUYER
92,Ophelia,ophelia@example.com,pw092!,BUYER
93,Phoebe,phoebe@example.com,pw093!,BUYER
94,Quincy,quincy@example.com,pw094!,BUYER
95,Rafael,rafael@example.com,pw095!,BUYER
96,Selene,selene@example.com,pw096!,BUYER
97,Tobias,tobias@example.com,pw097!,BUYER
98,Uriel,uriel@example.com,pw098!,BUYER
99,Vanessa,vanessa@example.com,pw099!,BUYER
100,Wyatt,wyatt@example.com,pw100!,BUYER
